loan_id,customer_id,product_type,plafond,tenor_months,interest_rate,disbursed_at,status,dpd,is_default,outstanding,updated_at
LOAN0000001,CUST002976,Tunaiku Mikro,50000000,6,35.84,2026-04-20,LANCAR,0,0,14364877,2026-08-26 00:00:00
LOAN0000002,CUST000047,SMB Modal Usaha,10000000,24,23.91,2023-09-02,LUNAS,0,0,0,2024-06-27 00:00:00
LOAN0000003,CUST001942,Tunaiku Mikro,2000000,12,19.71,2025-04-01,LUNAS,0,0,0,2025-07-22 00:00:00
LOAN0000004,CUST001090,SMB Modal Usaha,50000000,24,34.46,2022-08-01,LUNAS,0,0,0,2022-10-06 00:00:00
LOAN0000005,CUST004499,Tunaiku Mikro,2000000,12,34.14,2025-03-20,LANCAR,0,0,1707351,2025-04-29 00:00:00
LOAN0000006,CUST004420,Tunaiku Mikro,2000000,36,25.73,2025-07-06,DPD60,65,1,650279,2026-03-23 00:00:00
LOAN0000007,CUST002808,Tunaiku Mikro,25000000,36,16.09,2023-07-03,LANCAR,0,0,21905274,2024-07-01 00:00:00
LOAN0000008,CUST003094,Tunaiku KTA,2000000,18,28.19,2025-02-20,LANCAR,0,0,1025017,2025-09-29 00:00:00
LOAN0000009,CUST004285,Tunaiku Mikro,2000000,18,24.67,2025-05-21,LANCAR,0,0,1303375,2026-05-30 00:00:00
LOAN0000010,CUST004116,Tunaiku KTA,25000000,3,27.44,2025-10-21,LANCAR,0,0,18785810,2025-12-03 00:00:00
LOAN0000011,CUST003912,SMB Modal Usaha,5000000,24,16.37,2024-01-30,LANCAR,0,0,683363,2024-10-03 00:00:00
LOAN0000012,CUST002821,Tunaiku KTA,5000000,24,32.64,2023-09-03,LANCAR,0,0,3179772,2023-12-21 00:00:00
LOAN0000013,CUST001051,Tunaiku KTA,2000000,3,23.47,2026-04-04,LUNAS,0,0,0,2026-09-24 00:00:00
LOAN0000014,CUST003940,Tunaiku Mikro,25000000,6,30.45,2022-01-09,LANCAR,0,0,3172501,2023-01-21 00:00:00
LOAN0000015,CUST002745,SMB Invoice Financing,25000000,12,25.32,2023-01-28,DPD60,65,1,18892428,2023-11-16 00:00:00
LOAN0000016,CUST001954,SMB Invoice Financing,50000000,12,13.18,2023-05-21,LUNAS,0,0,0,2023-12-30 00:00:00
LOAN0000017,CUST002512,Tunaiku Mikro,5000000,6,25.23,2024-05-10,LANCAR,0,0,2506926,2025-01-17 00:00:00
LOAN0000018,CUST001585,Tunaiku KTA,2000000,6,30.6,2023-11-13,LANCAR,0,0,1064636,2024-07-12 00:00:00
LOAN0000019,CUST004368,Tunaiku KTA,2000000,3,33.19,2025-04-02,LANCAR,0,0,1324989,2025-06-01 00:00:00
LOAN0000020,CUST004604,Tunaiku KTA,10000000,24,23.29,2026-03-17,LANCAR,0,0,9204487,2027-02-28 00:00:00
LOAN0000021,CUST004485,Tunaiku KTA,50000000,18,20.07,2024-06-13,LANCAR,0,0,48369492,2025-02-14 00:00:00
LOAN0000022,CUST003071,SMB Modal Usaha,25000000,36,27.89,2024-08-23,DPD30,35,1,12321190,2024-09-01 00:00:00
LOAN0000023,CUST003522,SMB Modal Usaha,10000000,24,15.87,2022-11-13,LUNAS,0,0,0,2023-07-31 00:00:00
LOAN0000024,CUST000681,Tunaiku Mikro,5000000,3,19.31,2024-12-23,LUNAS,0,0,0,2025-09-01 00:00:00
LOAN0000025,CUST003651,Tunaiku KTA,25000000,18,20.96,2026-01-22,LUNAS,0,0,0,2026-02-06 00:00:00
