repayment_id,loan_id,due_date,paid_date,amount_due,amount_paid,is_late
RPM00000001,LOAN0006720,2023-06-22,2023-06-22,1000000,1000000,0
RPM00000002,LOAN0007220,2025-01-07,2025-01-04,2000000,2000000,0
RPM00000003,LOAN0006117,2025-11-14,2025-12-06,4000000,1684018,1
RPM00000004,LOAN0004629,2022-04-18,2022-04-18,300000,300000,0
RPM00000005,LOAN0002446,2024-12-28,2024-12-25,2000000,2000000,0
RPM00000006,LOAN0005566,2023-11-19,2023-12-03,300000,300000,1
RPM00000007,LOAN0003141,2025-10-09,2025-10-08,2000000,2000000,0
RPM00000008,LOAN0007044,2024-03-19,2024-03-16,300000,300000,0
RPM00000009,LOAN0004694,2022-07-24,2022-07-27,2000000,2000000,1
RPM00000010,LOAN0007832,2022-08-02,2022-07-30,4000000,4000000,0
RPM00000011,LOAN0004189,2024-11-29,2024-12-05,2000000,2000000,1
RPM00000012,LOAN0003627,2022-10-06,2022-10-04,300000,300000,0
RPM00000013,LOAN0000095,2023-07-21,2023-07-20,2000000,2000000,0
RPM00000014,LOAN0002324,2024-12-21,2024-12-21,4000000,4000000,0
RPM00000015,LOAN0003212,2025-06-03,2025-05-31,2000000,2000000,0
RPM00000016,LOAN0004833,2025-07-26,2025-08-03,2000000,2000000,1
RPM00000017,LOAN0003370,2024-09-19,2024-09-19,4000000,4000000,0
RPM00000018,LOAN0002668,2024-08-18,2024-08-18,4000000,4000000,0
RPM00000019,LOAN0006769,2025-12-18,2025-12-15,500000,500000,0
RPM00000020,LOAN0007445,2025-03-17,2025-03-16,300000,300000,0
RPM00000021,LOAN0004968,2026-02-08,2026-02-08,1000000,1000000,0
RPM00000022,LOAN0004073,2024-05-28,2024-05-27,300000,300000,0
RPM00000023,LOAN0006366,2025-08-30,2025-08-29,4000000,1815621,0
RPM00000024,LOAN0004518,2023-06-26,2023-06-26,2000000,2000000,0
RPM00000025,LOAN0001214,2022-07-03,2022-07-01,300000,300000,0
RPM00000026,LOAN0007032,2025-09-25,2025-09-24,1000000,1000000,0
RPM00000027,LOAN0000822,2024-06-17,2024-06-18,1000000,1000000,1
RPM00000028,LOAN0003075,2025-02-08,2025-02-06,500000,500000,0
RPM00000029,LOAN0004286,2025-11-01,2025-10-31,1000000,1000000,0
RPM00000030,LOAN0003662,2026-02-18,2026-03-03,500000,500000,1
RPM00000031,LOAN0006339,2022-04-08,2022-04-05,4000000,4000000,0
RPM00000032,LOAN0006930,2023-05-28,2023-05-27,500000,500000,0
RPM00000033,LOAN0002170,2025-03-16,2025-03-26,1000000,1000000,1
RPM00000034,LOAN0005500,2023-11-28,2023-11-26,500000,500000,0
RPM00000035,LOAN0004651,2022-02-15,2022-02-13,1000000,1000000,0
RPM00000036,LOAN0001729,2022-10-04,2022-10-01,500000,500000,0
RPM00000037,LOAN0002987,2026-05-26,2026-05-23,4000000,3552561,0
RPM00000038,LOAN0005537,2023-05-05,2023-05-02,300000,300000,0
RPM00000039,LOAN0007344,2025-04-22,2025-04-19,4000000,4000000,0
RPM00000040,LOAN0001399,2025-09-03,2025-09-02,2000000,2000000,0
RPM00000041,LOAN0004135,2024-06-26,2024-06-25,4000000,4000000,0
RPM00000042,LOAN0007168,2023-07-28,2023-07-27,300000,300000,0
RPM00000043,LOAN0006376,2024-05-10,2024-05-10,1000000,1000000,0
RPM00000044,LOAN0007311,2023-10-01,2023-09-30,4000000,4000000,0
RPM00000045,LOAN0007278,2023-06-10,2023-06-07,4000000,4000000,0
RPM00000046,LOAN0002864,2022-08-09,2022-08-08,300000,300000,0
RPM00000047,LOAN0006892,2024-07-24,2024-07-23,500000,500000,0
RPM00000048,LOAN0002355,2023-12-13,2023-12-18,2000000,737909,1
RPM00000049,LOAN0000503,2022-07-27,2022-07-26,500000,500000,0
RPM00000050,LOAN0001133,2025-02-10,2025-02-07,1000000,1000000,0
RPM00000051,LOAN0001201,2023-10-09,2023-10-08,4000000,4000000,0
RPM00000052,LOAN0007571,2024-03-14,2024-03-14,300000,300000,0
RPM00000053,LOAN0007077,2025-01-10,2025-01-07,500000,500000,0
RPM00000054,LOAN0004789,2022-02-23,2022-02-20,300000,300000,0
RPM00000055,LOAN0006649,2025-07-25,2025-07-25,1000000,1000000,0
RPM00000056,LOAN0000443,2024-09-06,2024-09-05,2000000,2000000,0
RPM00000057,LOAN0007444,2023-03-17,2023-03-17,300000,300000,0
