account_id,customer_id,account_type,balance,interest_rate,opened_at,status
ACC0000001,CUST002633,TABUNGAN,1160974,2.47,2024-10-04,ACTIVE
ACC0000002,CUST002051,DEPOSITO,10882144,3.13,2022-02-15,ACTIVE
ACC0000003,CUST002478,DEPOSITO,29615963,4.58,2025-06-17,ACTIVE
ACC0000004,CUST003335,TABUNGAN,6788315,1.77,2022-05-27,ACTIVE
ACC0000005,CUST003760,TABUNGAN,8758782,2.78,2022-03-12,ACTIVE
ACC0000006,CUST001832,TABUNGAN,20592103,2.66,2023-09-07,ACTIVE
ACC0000007,CUST002885,TABUNGAN,2476944,2.75,2022-08-24,ACTIVE
ACC0000008,CUST004126,TABUNGAN,1771752,1.6,2022-10-10,ACTIVE
ACC0000009,CUST000111,DEPOSITO,10497144,5.27,2024-07-05,ACTIVE
ACC0000010,CUST000183,TABUNGAN,5798854,1.33,2021-11-24,CLOSED
ACC0000011,CUST002653,TABUNGAN,12749982,2.47,2023-01-28,DORMANT
ACC0000012,CUST002921,TABUNGAN,2070311,3.36,2024-12-20,ACTIVE
ACC0000013,CUST002680,TABUNGAN,8530952,1.21,2023-10-26,ACTIVE
ACC0000014,CUST004130,DEPOSITO,628585,3.05,2025-08-23,ACTIVE
ACC0000015,CUST002940,DEPOSITO,5147198,3.58,2024-08-23,ACTIVE
ACC0000016,CUST001067,TABUNGAN,26181691,1.4,2023-12-26,ACTIVE
ACC0000017,CUST003505,TABUNGAN,20833381,2.11,2023-11-25,DORMANT
ACC0000018,CUST004429,DEPOSITO,1964672,6.0,2023-01-13,ACTIVE
ACC0000019,CUST003902,TABUNGAN,12785873,1.98,2025-10-10,ACTIVE
ACC0000020,CUST000755,TABUNGAN,2906582,2.64,2024-05-10,ACTIVE
ACC0000021,CUST002383,TABUNGAN,10808447,1.38,2022-06-26,ACTIVE
ACC0000022,CUST004027,DEPOSITO,452617,5.67,2021-09-02,ACTIVE
ACC0000023,CUST000141,TABUNGAN,4739707,3.31,2024-04-25,ACTIVE
ACC0000024,CUST002265,TABUNGAN,5512292,3.17,2021-11-27,ACTIVE
ACC0000025,CUST004784,TABUNGAN,12018131,2.41,2025-12-23,ACTIVE
ACC0000026,CUST004677,TABUNGAN,382782,1.83,2022-11-15,ACTIVE
ACC0000027,CUST002470,DEPOSITO,1213752,5.42,2021-12-23,ACTIVE
ACC0000028,CUST000622,TABUNGAN,2211749,1.09,2022-01-09,ACTIVE
ACC0000029,CUST001339,DEPOSITO,3282879,4.35,2026-04-11,DORMANT
ACC0000030,CUST003335,TABUNGAN,4710690,2.74,2024-09-10,ACTIVE
ACC0000031,CUST004431,DEPOSITO,12561766,4.88,2024-06-14,ACTIVE
ACC0000032,CUST002651,TABUNGAN,8042689,0.64,2021-09-20,DORMANT
ACC0000033,CUST003991,TABUNGAN,5329885,1.64,2024-09-29,ACTIVE
ACC0000034,CUST004044,TABUNGAN,15957835,2.08,2026-03-06,ACTIVE
ACC0000035,CUST004641,TABUNGAN,861021,1.49,2022-06-04,ACTIVE
ACC0000036,CUST004263,TABUNGAN,1919347,3.44,2021-10-02,ACTIVE
ACC0000037,CUST003091,TABUNGAN,1588306,3.42,2021-12-22,DORMANT
ACC0000038,CUST004313,TABUNGAN,35461579,1.22,2023-11-17,ACTIVE
ACC0000039,CUST003980,TABUNGAN,3401845,3.37,2024-01-25,ACTIVE
ACC0000040,CUST002097,TABUNGAN,39164091,0.93,2022-05-24,ACTIVE
ACC0000041,CUST000835,TABUNGAN,1611010,0.52,2022-05-23,ACTIVE
ACC0000042,CUST003419,TABUNGAN,6130700,3.41,2021-08-01,ACTIVE
ACC0000043,CUST002159,DEPOSITO,2929657,2.68,2024-11-24,ACTIVE
ACC0000044,CUST002189,TABUNGAN,6567266,1.35,2024-08-09,DORMANT
ACC0000045,CUST002231,TABUNGAN,1616510,0.82,2023-04-03,ACTIVE
ACC0000046,CUST004837,TABUNGAN,4478733,2.14,2025-01-16,ACTIVE
ACC0000047,CUST000160,TABUNGAN,6377535,2.9,2022-07-14,ACTIVE
ACC0000048,CUST001785,DEPOSITO,1863392,4.54,2025-07-17,CLOSED
ACC0000049,CUST001920,DEPOSITO,2643348,3.96,2025-04-29,ACTIVE
ACC0000050,CUST000158,TABUNGAN,3185014,1.69,2021-06-26,CLOSED
ACC0000051,CUST002888,TABUNGAN,2281645,1.7,2022-10-10,ACTIVE
ACC0000052,CUST001673,TABUNGAN,2564697,2.45,2021-11-04,CLOSED
ACC0000053,CUST000268,DEPOSITO,3199791,4.18,2021-11-16,ACTIVE
ACC0000054,CUST001424,TABUNGAN,7797126,2.99,2025-10-27,ACTIVE
ACC0000055,CUST004383,TABUNGAN,8529354,3.27,2023-05-27,ACTIVE
ACC0000056,CUST004086,TABUNGAN,3960614,1.92,2026-01-08,ACTIVE
ACC0000057,CUST000682,TABUNGAN,5512532,1.94,2024-10-28,ACTIVE
ACC0000058,CUST000745,TABUNGAN,11640690,2.18,2025-11-28,DORMANT
ACC0000059,CUST000549,TABUNGAN,1368253,2.11,2025-01-31,ACTIVE
ACC0000060,CUST002647,TABUNGAN,2260154,1.96,2025-06-05,ACTIVE
ACC0000061,CUST000820,TABUNGAN,8712969,1.14,2025-07-07,ACTIVE
ACC0000062,CUST003168,DEPOSITO,3733711,5.38,2021-08-06,ACTIVE
ACC0000063,CUST002297,TABUNGAN,2082110,3.4,2024-11-26,ACTIVE
ACC0000064,CUST000460,DEPOSITO,16232336,3.13,2025-12-05,ACTIVE
ACC0000065,CUST001150,DEPOSITO,6364605,4.88,2022-09-11,ACTIVE
ACC0000066,CUST002187,TABUNGAN,22924167,2.66,2022-07-21,ACTIVE
ACC0000067,CUST002045,TABUNGAN,2706928,3.24,2021-10-02,DORMANT
ACC0000068,CUST003191,TABUNGAN,1011218,2.32,2023-05-12,ACTIVE
ACC0000069,CUST003950,TABUNGAN,1952994,3.36,2022-04-01,ACTIVE
ACC0000070,CUST004015,TABUNGAN,2383254,2.5,2021-11-26,ACTIVE
ACC0000071,CUST002031,TABUNGAN,613659,2.29,2022-07-11,ACTIVE
ACC0000072,CUST001502,TABUNGAN,5103915,1.21,2024-01-25,CLOSED
ACC0000073,CUST000394,DEPOSITO,1581831,5.68,2024-06-07,ACTIVE
ACC0000074,CUST000141,TABUNGAN,6294787,2.0,2023-10-14,ACTIVE
ACC0000075,CUST003400,DEPOSITO,2834557,2.52,2021-11-04,ACTIVE
ACC0000076,CUST002965,TABUNGAN,4242472,2.37,2023-09-22,DORMANT
ACC0000077,CUST002736,TABUNGAN,21704751,2.24,2024-04-24,ACTIVE
ACC0000078,CUST003733,DEPOSITO,14973512,5.87,2021-11-25,ACTIVE
ACC0000079,CUST004411,DEPOSITO,3475487,6.0,2023-08-25,ACTIVE
ACC0000080,CUST003049,TABUNGAN,8571806,1.8,2022-12-12,ACTIVE
ACC0000081,CUST003610,DEPOSITO,10454330,3.9,2022-02-16,ACTIVE
ACC0000082,CUST002766,TABUNGAN,465906,3.37,2021-08-15,ACTIVE
ACC0000083,CUST001516,TABUNGAN,3916762,1.37,2025-07-16,ACTIVE
ACC0000084,CUST001929,TABUNGAN,5065937,1.87,2021-07-08,DORMANT
ACC0000085,CUST003576,TABUNGAN,3558420,0.66,2025-04-26,ACTIVE
ACC0000086,CUST003323,TABUNGAN,1825848,0.6,2025-03-01,DORMANT
ACC0000087,CUST004868,TABUNGAN,4069687,1.48,2023-01-30,ACTIVE
ACC0000088,CUST004939,TABUNGAN,455590,2.8,2022-07-18,ACTIVE
ACC0000089,CUST000062,TABUNGAN,5743949,3.06,2021-10-24,ACTIVE
ACC0000090,CUST003188,TABUNGAN,1524504,2.84,2023-05-26,CLOSED
ACC0000091,CUST000257,TABUNGAN,29484710,1.91,2022-03-07,ACTIVE
ACC0000092,CUST002157,TABUNGAN,9690584,0.85,2022-06-20,ACTIVE
ACC0000093,CUST002921,DEPOSITO,2431277,4.84,2022-05-09,ACTIVE
ACC0000094,CUST001114,DEPOSITO,10638262,5.55,2021-11-21,ACTIVE
ACC0000095,CUST001984,TABUNGAN,7599323,3.12,2026-01-04,ACTIVE
ACC0000096,CUST000895,TABUNGAN,1809228,1.76,2024-01-02,ACTIVE
ACC0000097,CUST003305,TABUNGAN,7829397,1.52,2023-08-20,ACTIVE
ACC0000098,CUST001237,TABUNGAN,6036707,1.92,2024-11-30,ACTIVE
ACC0000099,CUST004659,TABUNGAN,766633,2.42,2024-07-22,ACTIVE
ACC0000100,CUST000306,TABUNGAN,2800532,1.32,2025-07-26,ACTIVE
ACC0000101,CUST003721,TABUNGAN,712739,0.72,2023-03-16,ACTIVE
ACC0000102,CUST000862,TABUNGAN,30430469,3.37,2022-10-31,ACTIVE
ACC0000103,CUST000893,DEPOSITO,3107952,4.54,2024-01-14,ACTIVE
ACC0000104,CUST000469,TABUNGAN,2279728,2.77,2023-10-30,ACTIVE
ACC0000105,CUST002964,DEPOSITO,1714740,4.78,2023-05-24,ACTIVE
ACC0000106,CUST004184,TABUNGAN,8656578,3.39,2024-10-14,ACTIVE
ACC0000107,CUST003416,TABUNGAN,1849092,2.61,2021-06-14,ACTIVE
ACC0000108,CUST003829,TABUNGAN,2887660,3.38,2025-05-16,ACTIVE
ACC0000109,CUST002417,TABUNGAN,7650692,3.23,2021-11-04,ACTIVE
ACC0000110,CUST003464,TABUNGAN,20842904,2.03,2023-02-22,ACTIVE
ACC0000111,CUST000740,TABUNGAN,1826629,2.8,2024-04-10,ACTIVE
ACC0000112,CUST001123,TABUNGAN,3236215,3.44,2023-09-19,ACTIVE
ACC0000113,CUST002356,TABUNGAN,11056683,3.27,2024-05-29,ACTIVE
ACC0000114,CUST002123,TABUNGAN,4254674,2.32,2022-04-22,ACTIVE
ACC0000115,CUST004922,TABUNGAN,12120431,2.77,2023-05-29,ACTIVE
ACC0000116,CUST003943,TABUNGAN,3147470,1.04,2023-03-31,ACTIVE
ACC0000117,CUST000780,TABUNGAN,215154,1.66,2024-10-20,ACTIVE
ACC0000118,CUST004029,TABUNGAN,819261,0.82,2021-09-28,ACTIVE
ACC0000119,CUST001496,TABUNGAN,2766710,0.63,2023-07-12,DORMANT
ACC0000120,CUST002719,TABUNGAN,2653810,1.25,2022-03-10,CLOSED
ACC0000121,CUST002400,TABUNGAN,27404409,1.33,2025-06-23,ACTIVE
ACC0000122,CUST004884,TABUNGAN,9474071,3.07,2024-08-14,ACTIVE
ACC0000123,CUST003785,TABUNGAN,5802694,1.0,2026-02-16,ACTIVE
ACC0000124,CUST000327,TABUNGAN,5824483,2.42,2022-03-22,ACTIVE
ACC0000125,CUST004439,TABUNGAN,1451575,2.85,2024-11-17,ACTIVE
ACC0000126,CUST002972,DEPOSITO,39051969,4.32,2026-04-05,CLOSED
ACC0000127,CUST000235,TABUNGAN,8894028,1.29,2025-10-27,ACTIVE
ACC0000128,CUST000186,DEPOSITO,16175364,4.74,2025-06-10,ACTIVE
ACC0000129,CUST004619,DEPOSITO,4380408,5.05,2025-04-08,ACTIVE
ACC0000130,CUST002340,TABUNGAN,1902019,3.39,2025-09-27,ACTIVE
ACC0000131,CUST003098,DEPOSITO,5482993,3.0,2025-04-14,ACTIVE
ACC0000132,CUST000686,TABUNGAN,4203672,2.75,2022-07-26,ACTIVE
ACC0000133,CUST004819,TABUNGAN,1512295,0.89,2023-03-31,ACTIVE
ACC0000134,CUST001609,TABUNGAN,3745224,1.51,2022-01-30,ACTIVE
ACC0000135,CUST000016,TABUNGAN,5213440,2.6,2023-06-13,ACTIVE
ACC0000136,CUST003022,TABUNGAN,10415132,0.78,2023-06-02,ACTIVE
ACC0000137,CUST004451,DEPOSITO,1254406,2.51,2024-04-14,ACTIVE
ACC0000138,CUST002531,TABUNGAN,6464701,1.37,2024-08-29,ACTIVE
ACC0000139,CUST001500,TABUNGAN,6436275,2.33,2022-08-01,ACTIVE
ACC0000140,CUST001361,DEPOSITO,3306982,4.56,2023-08-04,DORMANT
ACC0000141,CUST000306,TABUNGAN,2403243,0.55,2024-07-17,CLOSED
ACC0000142,CUST000555,TABUNGAN,13697829,2.62,2023-03-03,ACTIVE
ACC0000143,CUST004033,TABUNGAN,2229094,1.42,2023-08-07,ACTIVE
ACC0000144,CUST002485,TABUNGAN,945632,2.7,2025-01-30,ACTIVE
ACC0000145,CUST000260,TABUNGAN,1502632,0.86,2024-01-12,ACTIVE
ACC0000146,CUST004696,TABUNGAN,17490998,3.24,2023-12-13,ACTIVE
ACC0000147,CUST001275,DEPOSITO,26324649,4.21,2024-02-22,ACTIVE
ACC0000148,CUST001640,TABUNGAN,3254701,3.48,2025-11-14,ACTIVE
ACC0000149,CUST004586,TABUNGAN,2061161,1.62,2023-06-14,ACTIVE
ACC0000150,CUST003540,DEPOSITO,14264688,3.97,2024-02-08,ACTIVE
ACC0000151,CUST001601,TABUNGAN,3218225,0.96,2021-11-14,CLOSED
ACC0000152,CUST004880,TABUNGAN,4381929,2.33,2024-08-09,ACTIVE
ACC0000153,CUST002698,TABUNGAN,5231174,0.56,2022-06-16,ACTIVE
ACC0000154,CUST000478,TABUNGAN,13250013,2.63,2025-03-23,ACTIVE
ACC0000155,CUST003433,TABUNGAN,3081353,3.25,2023-10-15,ACTIVE
ACC0000156,CUST000055,DEPOSITO,13516031,5.09,2021-09-14,DORMANT
ACC0000157,CUST002578,TABUNGAN,3627471,1.48,2024-05-22,DORMANT
ACC0000158,CUST004958,TABUNGAN,7726179,1.04,2024-02-09,ACTIVE
ACC0000159,CUST003828,TABUNGAN,6966048,0.9,2022-02-06,DORMANT
ACC0000160,CUST004402,DEPOSITO,15856165,3.5,2026-02-28,ACTIVE
ACC0000161,CUST004231,DEPOSITO,7646606,3.61,2024-11-25,ACTIVE
