txn_id,account_id,txn_type,channel,amount,txn_ts
TXN000000001,ACC0002499,TRANSFER,MOBILE_APP,651472,2025-12-04 15:32:45
TXN000000002,ACC0004707,TRANSFER,MOBILE_APP,1060952,2025-08-09 14:57:18
TXN000000003,ACC0004930,PAYMENT,MOBILE_APP,632961,2025-10-09 00:15:57
TXN000000004,ACC0005505,TOPUP,MOBILE_APP,26735,2025-05-10 23:41:47
TXN000000005,ACC0000654,TOPUP,MOBILE_APP,186694,2025-01-19 17:41:18
TXN000000006,ACC0003228,TRANSFER,QRIS,444075,2025-02-27 00:07:40
TXN000000007,ACC0003596,INTEREST,VA,255576,2026-02-19 00:46:08
TXN000000008,ACC0004488,TRANSFER,MOBILE_APP,785396,2026-04-06 09:03:59
TXN000000009,ACC0002353,TOPUP,VA,227077,2026-03-16 12:03:33
TXN000000010,ACC0004563,TRANSFER,VA,71816,2026-05-27 11:30:05
TXN000000011,ACC0005969,TRANSFER,MOBILE_APP,116639,2025-11-10 02:34:48
TXN000000012,ACC0002805,TOPUP,MOBILE_APP,187730,2025-03-20 13:08:43
TXN000000013,ACC0001724,PAYMENT,VA,569891,2025-04-15 17:34:30
TXN000000014,ACC0002828,TOPUP,VA,3719689,2026-04-05 07:08:33
TXN000000015,ACC0000838,TRANSFER,MOBILE_APP,296062,2025-01-31 07:45:09
TXN000000016,ACC0001355,WITHDRAWAL,VA,346332,2026-02-03 05:53:39
TXN000000017,ACC0003996,FEE,MOBILE_APP,92575,2025-03-07 21:17:21
TXN000000018,ACC0005812,TRANSFER,QRIS,147336,2025-12-03 08:22:36
TXN000000019,ACC0002698,TOPUP,ATM_BERSAMA,967452,2025-10-16 04:18:32
TXN000000020,ACC0002471,TRANSFER,MOBILE_APP,199553,2025-07-06 15:28:30
TXN000000021,ACC0004935,PAYMENT,MOBILE_APP,112765,2026-05-01 04:19:49
TXN000000022,ACC0001307,PAYMENT,MOBILE_APP,965252,2025-02-10 01:22:37
TXN000000023,ACC0004817,WITHDRAWAL,VA,3085026,2025-02-07 03:11:17
